Date,Hour,Minute,Price
2022-01-16,00,26,14990.0
2022-01-16,06,14,14990.0
2022-01-17,11,26,14990.0
2022-01-18,19,10,15490.0
2022-01-19,12,25,15490.0
2022-01-20,13,05,15490.0
2022-01-21,23,20,15490.0
2022-01-23,15,15,15490.0
2022-01-24,21,54,15490.0
2022-01-25,00,00,15490.0
2022-01-26,00,10,15490.0
2022-01-27,14,12,15490.0
2022-01-29,16,30,15490.0
2022-02-02,22,00,15490.0
2022-02-04,18,21,15490.0
2022-02-05,05,51,15475.0
2022-02-08,09,09,15475.0
2022-02-09,04,37,15465.0
2022-02-09,20,09,15470.0
2022-02-10,19,07,15475.0
2022-02-11,17,18,15475.0
2022-02-12,01,11,15490.0
2022-02-12,19,28,15475.0
2022-02-13,19,08,15475.0
2022-02-14,19,04,15475.0
2022-02-15,18,58,15470.0
2022-02-16,19,05,15470.0
2022-02-16,19,10,15475.0
2022-02-18,06,10,15475.0
2022-02-20,05,42,15490.0
2022-02-20,19,58,15490.0
2022-02-21,12,34,15490.0
2022-02-22,05,54,15490.0
2022-02-23,04,00,15490.0
2022-02-23,20,02,15490.0
2022-02-25,04,36,15490.0
2022-02-27,00,15,15490.0
2022-02-27,20,34,15390.0
2022-02-28,15,01,15390.0
2022-03-01,02,58,15390.0
2022-03-02,14,30,15390.0
2022-03-03,18,15,15390.0
2022-03-05,00,15,15490.0
2022-03-06,22,10,15490.0
2022-03-07,20,48,16740.0
2022-03-08,16,24,16740.0
2022-03-10,14,50,16240.0
2022-03-11,13,35,16240.0
2022-03-11,23,02,15490.0
2022-03-12,19,46,15490.0
2022-03-13,17,16,15490.0
2022-03-13,19,59,15490.0
2022-03-14,11,29,15490.0
2022-03-18,18,30,15490.0
2022-03-18,20,43,15490.0
2022-03-20,03,23,15490.0
2022-03-21,17,40,15490.0
2022-03-22,04,41,15490.0
2022-03-24,00,03,15490.0
2022-03-25,10,25,15490.0
2022-03-27,14,10,15490.0
2022-03-28,17,25,15490.0
2022-03-29,03,29,15490.0
2022-03-30,11,30,15490.0
2022-03-31,06,40,15490.0
2022-04-01,08,05,16240.0
2022-04-02,06,50,15490.0
2022-04-03,11,45,15490.0
2022-04-04,06,45,15490.0
2022-04-06,00,55,16240.0
2022-04-08,07,25,16240.0
2022-04-10,20,25,15475.0
2022-04-11,07,30,15475.0
2022-04-11,20,52,15475.0
2022-04-12,12,01,15475.0
2022-04-13,06,40,15475.0
2022-04-14,11,35,15475.0
2022-04-15,12,10,16240.0
2022-04-15,19,48,16240.0
2022-04-16,08,48,16240.0
2022-04-17,17,20,16240.0
2022-04-17,21,55,16240.0
2022-04-18,20,10,16240.0
2022-04-19,03,58,16240.0
2022-04-22,07,35,16240.0
2022-04-23,19,55,16240.0
2022-04-24,18,20,16240.0
2022-04-25,00,03,16240.0
2022-04-26,11,10,16240.0
2022-04-26,19,40,16240.0
2022-04-27,19,51,16240.0
2022-04-28,19,42,16240.0
2022-04-29,20,29,16240.0
2022-04-30,23,38,16240.0
2022-05-01,18,34,16240.0
2022-05-02,15,54,16240.0
2022-05-02,21,01,16240.0
2022-05-03,20,36,16240.0
2022-05-04,19,44,16240.0
2022-05-04,19,49,16240.0
2022-05-05,18,52,16240.0
2022-05-06,19,15,16120.0
2022-05-07,21,11,16240.0
2022-05-08,22,45,16100.0
2022-05-09,20,51,16240.0
2022-05-10,20,50,16240.0
2022-05-11,22,51,16220.0
2022-05-12,18,13,16220.0
2022-05-12,21,43,16240.0
2022-05-13,19,47,16240.0
